env_step,returned_episode_returns
4096,0.0
8192,0.0
12288,0.0
16384,0.0
20480,0.0
24576,0.0
28672,0.0
32768,0.0
36864,0.0
40960,0.0
45056,0.0
49152,0.0
53248,0.0
57344,0.0
61440,0.0
65536,0.0
69632,0.0
73728,0.0
77824,0.0
81920,0.0
86016,0.0
90112,0.0
94208,0.0
98304,0.0
102400,0.0
106496,0.0
110592,0.0
114688,0.0
118784,0.0
122880,0.0
126976,0.0
131072,0.0
135168,0.0
139264,0.0
143360,0.0
147456,0.0
151552,0.0
155648,0.0
159744,0.0
163840,0.0
167936,0.0
172032,0.0
176128,0.0
180224,0.0
184320,0.0
188416,0.0
192512,0.0
196608,0.0
200704,0.0
204800,0.0
208896,0.0
212992,0.0
217088,0.0
221184,0.0
225280,0.0
229376,0.0
233472,0.0
237568,0.0
241664,0.0
245760,0.0
249856,0.0
253952,0.0
258048,0.0
262144,0.0
266240,0.0
270336,0.0
274432,0.0
278528,0.0
282624,0.0
286720,0.0
290816,0.0
294912,0.0
299008,0.0
303104,0.0
307200,0.0
311296,0.0
315392,0.0
319488,0.0
323584,0.644287109375
327680,0.7109375
331776,0.7109375
335872,0.7109375
339968,0.7109375
344064,0.7109375
348160,0.7109375
352256,0.7109375
356352,0.7109375
360448,0.7109375
364544,0.7109375
368640,0.7109375
372736,0.7109375
376832,0.7109375
380928,0.7109375
385024,0.7109375
389120,0.7109375
393216,0.7109375
397312,0.7109375
401408,0.7109375
405504,0.7109375
409600,0.7109375
413696,0.7109375
417792,0.7109375
421888,0.7109375
425984,0.7109375
430080,0.7109375
434176,0.7109375
438272,0.7109375
442368,0.7109375
446464,0.7109375
450560,0.7109375
454656,0.7109375
458752,0.7109375
462848,0.7109375
466944,0.7109375
471040,0.7109375
475136,0.7109375
479232,0.7109375
483328,0.7109375
487424,0.7109375
491520,0.7109375
495616,0.7109375
499712,0.7109375
503808,0.7109375
507904,0.7109375
512000,0.7109375
516096,0.7109375
520192,0.7109375
524288,0.7109375
528384,0.7109375
532480,0.7109375
536576,0.7109375
540672,0.7109375
544768,0.7109375
548864,0.7109375
552960,0.7109375
557056,0.7109375
561152,0.7109375
565248,0.7109375
569344,0.7109375
573440,0.7109375
577536,0.7109375
581632,0.7109375
585728,0.7109375
589824,0.7109375
593920,0.7109375
598016,0.7109375
602112,0.7109375
606208,0.7109375
610304,0.7109375
614400,0.7109375
618496,0.7109375
622592,0.7109375
626688,0.7109375
630784,0.7109375
634880,0.7109375
638976,0.7109375
643072,1.534912109375
647168,1.765625
651264,1.765625
655360,1.765625
659456,1.765625
663552,1.765625
667648,1.765625
671744,1.765625
675840,1.765625
679936,1.765625
684032,1.765625
688128,1.765625
692224,1.765625
696320,1.765625
700416,1.765625
704512,1.765625
708608,1.765625
712704,1.765625
716800,1.765625
720896,1.765625
724992,1.765625
729088,1.765625
733184,1.765625
737280,1.765625
741376,1.765625
745472,1.765625
749568,1.765625
753664,1.765625
757760,1.765625
761856,1.765625
765952,1.765625
770048,1.765625
774144,1.765625
778240,1.765625
782336,1.765625
786432,1.765625
790528,1.765625
794624,1.765625
798720,1.765625
802816,1.765625
806912,1.765625
811008,1.765625
815104,1.765625
819200,1.765625
823296,1.765625
827392,1.765625
831488,1.765625
835584,1.765625
839680,1.765625
843776,1.765625
847872,1.765625
851968,1.765625
856064,1.765625
860160,1.765625
864256,1.765625
868352,1.765625
872448,1.765625
876544,1.765625
880640,1.765625
884736,1.765625
888832,1.765625
892928,1.765625
897024,1.765625
901120,1.765625
905216,1.765625
909312,1.765625
913408,1.765625
