"env_step","Asterix-MinAtar_Transfer_From_Breakout-MinAtar - _step","Asterix-MinAtar_Transfer_From_Breakout-MinAtar - _step__MIN","Asterix-MinAtar_Transfer_From_Breakout-MinAtar - _step__MAX","Asterix-MinAtar_Transfer_From_Breakout-MinAtar - returned_episode_returns","Asterix-MinAtar_Transfer_From_Breakout-MinAtar - returned_episode_returns__MIN","Asterix-MinAtar_Transfer_From_Breakout-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0","0","0"
"8192","2","2","2","0.012939453125","0.012939453125","0.012939453125"
"12288","3","3","3","0.166259765625","0.166259765625","0.166259765625"
"16384","4","4","4","0.35302734375","0.35302734375","0.35302734375"
"20480","5","5","5","0.384521484375","0.384521484375","0.384521484375"
"24576","6","6","6","0.51953125","0.51953125","0.51953125"
"28672","7","7","7","0.55029296875","0.55029296875","0.55029296875"
"32768","8","8","8","0.64794921875","0.64794921875","0.64794921875"
"36864","9","9","9","0.636474609375","0.636474609375","0.636474609375"
"40960","10","10","10","0.684326171875","0.684326171875","0.684326171875"
"45056","11","11","11","0.588134765625","0.588134765625","0.588134765625"
"49152","12","12","12","0.53515625","0.53515625","0.53515625"
"53248","13","13","13","0.50439453125","0.50439453125","0.50439453125"
"57344","14","14","14","0.536376953125","0.536376953125","0.536376953125"
"61440","15","15","15","0.608642578125","0.608642578125","0.608642578125"
"65536","16","16","16","0.47607421875","0.47607421875","0.47607421875"
"69632","17","17","17","0.486083984375","0.486083984375","0.486083984375"
"73728","18","18","18","0.468505859375","0.468505859375","0.468505859375"
"77824","19","19","19","0.42724609375","0.42724609375","0.42724609375"
"81920","20","20","20","0.463623046875","0.463623046875","0.463623046875"
"86016","21","21","21","0.6298828125","0.6298828125","0.6298828125"
"90112","22","22","22","0.685546875","0.685546875","0.685546875"
"94208","23","23","23","0.670654296875","0.670654296875","0.670654296875"
"98304","24","24","24","0.674072265625","0.674072265625","0.674072265625"
"102400","25","25","25","0.478759765625","0.478759765625","0.478759765625"
"106496","26","26","26","0.42236328125","0.42236328125","0.42236328125"
"110592","27","27","27","0.458740234375","0.458740234375","0.458740234375"
"114688","28","28","28","0.495849609375","0.495849609375","0.495849609375"
"118784","29","29","29","0.49560546875","0.49560546875","0.49560546875"
"122880","30","30","30","0.54345703125","0.54345703125","0.54345703125"
"126976","31","31","31","0.482666015625","0.482666015625","0.482666015625"
"131072","32","32","32","0.544921875","0.544921875","0.544921875"
"135168","33","33","33","0.603515625","0.603515625","0.603515625"
"139264","34","34","34","0.58349609375","0.58349609375","0.58349609375"
"143360","35","35","35","0.638427734375","0.638427734375","0.638427734375"
"147456","36","36","36","0.547119140625","0.547119140625","0.547119140625"
"151552","37","37","37","0.578369140625","0.578369140625","0.578369140625"
"155648","38","38","38","0.536376953125","0.536376953125","0.536376953125"
"159744","39","39","39","0.453369140625","0.453369140625","0.453369140625"
"163840","40","40","40","0.393310546875","0.393310546875","0.393310546875"
"167936","41","41","41","0.483642578125","0.483642578125","0.483642578125"
"172032","42","42","42","0.463134765625","0.463134765625","0.463134765625"
"176128","43","43","43","0.4013671875","0.4013671875","0.4013671875"
"180224","44","44","44","0.459716796875","0.459716796875","0.459716796875"
"184320","45","45","45","0.50048828125","0.50048828125","0.50048828125"
"188416","46","46","46","0.59765625","0.59765625","0.59765625"
"192512","47","47","47","0.559326171875","0.559326171875","0.559326171875"
"196608","48","48","48","0.47900390625","0.47900390625","0.47900390625"
"200704","49","49","49","0.486328125","0.486328125","0.486328125"
"204800","50","50","50","0.480712890625","0.480712890625","0.480712890625"
"208896","51","51","51","0.588623046875","0.588623046875","0.588623046875"
"212992","52","52","52","0.591064453125","0.591064453125","0.591064453125"
"217088","53","53","53","0.5556640625","0.5556640625","0.5556640625"
"221184","54","54","54","0.62939453125","0.62939453125","0.62939453125"
"225280","55","55","55","0.598388671875","0.598388671875","0.598388671875"
"229376","56","56","56","0.574951171875","0.574951171875","0.574951171875"
"233472","57","57","57","0.502685546875","0.502685546875","0.502685546875"
"237568","58","58","58","0.491455078125","0.491455078125","0.491455078125"
"241664","59","59","59","0.528564453125","0.528564453125","0.528564453125"
"245760","60","60","60","0.523681640625","0.523681640625","0.523681640625"
"249856","61","61","61","0.578857421875","0.578857421875","0.578857421875"
"253952","62","62","62","0.590087890625","0.590087890625","0.590087890625"
"258048","63","63","63","0.531494140625","0.531494140625","0.531494140625"
"262144","64","64","64","0.541259765625","0.541259765625","0.541259765625"
"266240","65","65","65","0.4892578125","0.4892578125","0.4892578125"
"270336","66","66","66","0.4580078125","0.4580078125","0.4580078125"
"274432","67","67","67","0.479736328125","0.479736328125","0.479736328125"
"278528","68","68","68","0.57861328125","0.57861328125","0.57861328125"
"282624","69","69","69","0.650634765625","0.650634765625","0.650634765625"
"286720","70","70","70","0.60107421875","0.60107421875","0.60107421875"
"290816","71","71","71","0.453857421875","0.453857421875","0.453857421875"
"294912","72","72","72","0.528564453125","0.528564453125","0.528564453125"
"299008","73","73","73","0.522216796875","0.522216796875","0.522216796875"
"303104","74","74","74","0.45947265625","0.45947265625","0.45947265625"
"307200","75","75","75","0.510986328125","0.510986328125","0.510986328125"
"311296","76","76","76","0.47705078125","0.47705078125","0.47705078125"
"315392","77","77","77","0.515625","0.515625","0.515625"
"319488","78","78","78","0.58056640625","0.58056640625","0.58056640625"
"323584","79","79","79","0.6044921875","0.6044921875","0.6044921875"
"327680","80","80","80","0.528076171875","0.528076171875","0.528076171875"
"331776","81","81","81","0.569091796875","0.569091796875","0.569091796875"
"335872","82","82","82","0.545654296875","0.545654296875","0.545654296875"
"339968","83","83","83","0.617431640625","0.617431640625","0.617431640625"
"344064","84","84","84","0.60791015625","0.60791015625","0.60791015625"
"348160","85","85","85","0.626953125","0.626953125","0.626953125"
"352256","86","86","86","0.557373046875","0.557373046875","0.557373046875"
"356352","87","87","87","0.60986328125","0.60986328125","0.60986328125"
