"env_step","Asterix-MinAtar_Transfer_From_Breakout-MinAtar - _step","Asterix-MinAtar_Transfer_From_Breakout-MinAtar - _step__MIN","Asterix-MinAtar_Transfer_From_Breakout-MinAtar - _step__MAX","Asterix-MinAtar_Transfer_From_Breakout-MinAtar - test_returned_episode_returns","Asterix-MinAtar_Transfer_From_Breakout-MinAtar - test_returned_episode_returns__MIN","Asterix-MinAtar_Transfer_From_Breakout-MinAtar - test_returned_episode_returns__MAX"
"4096","1","1","1","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"8192","2","2","2","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"12288","3","3","3","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"16384","4","4","4","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"20480","5","5","5","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"24576","6","6","6","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"28672","7","7","7","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"32768","8","8","8","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"36864","9","9","9","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"40960","10","10","10","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"45056","11","11","11","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"49152","12","12","12","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"53248","13","13","13","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"57344","14","14","14","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"61440","15","15","15","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"65536","16","16","16","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"69632","17","17","17","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"73728","18","18","18","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"77824","19","19","19","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"81920","20","20","20","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"86016","21","21","21","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"90112","22","22","22","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"94208","23","23","23","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"98304","24","24","24","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"102400","25","25","25","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"106496","26","26","26","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"110592","27","27","27","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"114688","28","28","28","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"118784","29","29","29","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"122880","30","30","30","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"126976","31","31","31","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"131072","32","32","32","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"135168","33","33","33","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"139264","34","34","34","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"143360","35","35","35","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"147456","36","36","36","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"151552","37","37","37","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"155648","38","38","38","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"159744","39","39","39","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"163840","40","40","40","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"167936","41","41","41","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"172032","42","42","42","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"176128","43","43","43","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"180224","44","44","44","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"184320","45","45","45","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"188416","46","46","46","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"192512","47","47","47","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"196608","48","48","48","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"200704","49","49","49","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"204800","50","50","50","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"208896","51","51","51","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"212992","52","52","52","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"217088","53","53","53","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"221184","54","54","54","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"225280","55","55","55","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"229376","56","56","56","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"233472","57","57","57","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"237568","58","58","58","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"241664","59","59","59","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"245760","60","60","60","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"249856","61","61","61","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"253952","62","62","62","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"258048","63","63","63","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"262144","64","64","64","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"266240","65","65","65","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"270336","66","66","66","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"274432","67","67","67","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"278528","68","68","68","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"282624","69","69","69","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"286720","70","70","70","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"290816","71","71","71","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"294912","72","72","72","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"299008","73","73","73","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"303104","74","74","74","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"307200","75","75","75","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"311296","76","76","76","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"315392","77","77","77","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"319488","78","78","78","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"323584","79","79","79","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"327680","80","80","80","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"331776","81","81","81","0.4343434274196625","0.4343434274196625","0.4343434274196625"
"335872","82","82","82","0.4343434274196625","0.4343434274196625","0.4343434274196625"
