"env_step","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step__MIN","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step__MAX","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns__MIN","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0","0","0"
"8192","2","2","2","0.012939453125","0.012939453125","0.012939453125"
"12288","3","3","3","0.159423828125","0.159423828125","0.159423828125"
"16384","4","4","4","0.35693359375","0.35693359375","0.35693359375"
"20480","5","5","5","0.40283203125","0.40283203125","0.40283203125"
"24576","6","6","6","0.5302734375","0.5302734375","0.5302734375"
"28672","7","7","7","0.5078125","0.5078125","0.5078125"
"32768","8","8","8","0.598876953125","0.598876953125","0.598876953125"
"36864","9","9","9","0.58447265625","0.58447265625","0.58447265625"
"40960","10","10","10","0.62255859375","0.62255859375","0.62255859375"
"45056","11","11","11","0.60986328125","0.60986328125","0.60986328125"
"49152","12","12","12","0.5380859375","0.5380859375","0.5380859375"
"53248","13","13","13","0.433837890625","0.433837890625","0.433837890625"
"57344","14","14","14","0.41650390625","0.41650390625","0.41650390625"
"61440","15","15","15","0.4892578125","0.4892578125","0.4892578125"
"65536","16","16","16","0.457275390625","0.457275390625","0.457275390625"
"69632","17","17","17","0.4453125","0.4453125","0.4453125"
"73728","18","18","18","0.468505859375","0.468505859375","0.468505859375"
"77824","19","19","19","0.454345703125","0.454345703125","0.454345703125"
"81920","20","20","20","0.35498046875","0.35498046875","0.35498046875"
"86016","21","21","21","0.388427734375","0.388427734375","0.388427734375"
"90112","22","22","22","0.456298828125","0.456298828125","0.456298828125"
"94208","23","23","23","0.47705078125","0.47705078125","0.47705078125"
"98304","24","24","24","0.44921875","0.44921875","0.44921875"
"102400","25","25","25","0.47509765625","0.47509765625","0.47509765625"
"106496","26","26","26","0.58056640625","0.58056640625","0.58056640625"
"110592","27","27","27","0.5390625","0.5390625","0.5390625"
"114688","28","28","28","0.504150390625","0.504150390625","0.504150390625"
"118784","29","29","29","0.502197265625","0.502197265625","0.502197265625"
"122880","30","30","30","0.51025390625","0.51025390625","0.51025390625"
"126976","31","31","31","0.495361328125","0.495361328125","0.495361328125"
"131072","32","32","32","0.545166015625","0.545166015625","0.545166015625"
"135168","33","33","33","0.510009765625","0.510009765625","0.510009765625"
"139264","34","34","34","0.342041015625","0.342041015625","0.342041015625"
"143360","35","35","35","0.399658203125","0.399658203125","0.399658203125"
"147456","36","36","36","0.394775390625","0.394775390625","0.394775390625"
"151552","37","37","37","0.509521484375","0.509521484375","0.509521484375"
"155648","38","38","38","0.5078125","0.5078125","0.5078125"
"159744","39","39","39","0.546875","0.546875","0.546875"
"163840","40","40","40","0.502685546875","0.502685546875","0.502685546875"
"167936","41","41","41","0.47607421875","0.47607421875","0.47607421875"
"172032","42","42","42","0.4052734375","0.4052734375","0.4052734375"
"176128","43","43","43","0.384033203125","0.384033203125","0.384033203125"
"180224","44","44","44","0.3955078125","0.3955078125","0.3955078125"
"184320","45","45","45","0.37451171875","0.37451171875","0.37451171875"
"188416","46","46","46","0.417724609375","0.417724609375","0.417724609375"
"192512","47","47","47","0.52099609375","0.52099609375","0.52099609375"
"196608","48","48","48","0.473876953125","0.473876953125","0.473876953125"
"200704","49","49","49","0.456787109375","0.456787109375","0.456787109375"
"204800","50","50","50","0.4609375","0.4609375","0.4609375"
"208896","51","51","51","0.46533203125","0.46533203125","0.46533203125"
"212992","52","52","52","0.4794921875","0.4794921875","0.4794921875"
"217088","53","53","53","0.438720703125","0.438720703125","0.438720703125"
"221184","54","54","54","0.4208984375","0.4208984375","0.4208984375"
"225280","55","55","55","0.42578125","0.42578125","0.42578125"
"229376","56","56","56","0.4306640625","0.4306640625","0.4306640625"
"233472","57","57","57","0.49267578125","0.49267578125","0.49267578125"
"237568","58","58","58","0.59765625","0.59765625","0.59765625"
"241664","59","59","59","0.667236328125","0.667236328125","0.667236328125"
"245760","60","60","60","0.58447265625","0.58447265625","0.58447265625"
"249856","61","61","61","0.551025390625","0.551025390625","0.551025390625"
"253952","62","62","62","0.4951171875","0.4951171875","0.4951171875"
"258048","63","63","63","0.515380859375","0.515380859375","0.515380859375"
"262144","64","64","64","0.58984375","0.58984375","0.58984375"
"266240","65","65","65","0.585205078125","0.585205078125","0.585205078125"
"270336","66","66","66","0.451904296875","0.451904296875","0.451904296875"
"274432","67","67","67","0.433837890625","0.433837890625","0.433837890625"
"278528","68","68","68","0.61328125","0.61328125","0.61328125"
"282624","69","69","69","0.703125","0.703125","0.703125"
"286720","70","70","70","0.600830078125","0.600830078125","0.600830078125"
"290816","71","71","71","0.487548828125","0.487548828125","0.487548828125"
"294912","72","72","72","0.483154296875","0.483154296875","0.483154296875"
"299008","73","73","73","0.505126953125","0.505126953125","0.505126953125"
"303104","74","74","74","0.52734375","0.52734375","0.52734375"
"307200","75","75","75","0.42822265625","0.42822265625","0.42822265625"
"311296","76","76","76","0.405029296875","0.405029296875","0.405029296875"
"315392","77","77","77","0.508544921875","0.508544921875","0.508544921875"
"319488","78","78","78","0.571044921875","0.571044921875","0.571044921875"
"323584","79","79","79","0.5908203125","0.5908203125","0.5908203125"
"327680","80","80","80","0.531005859375","0.531005859375","0.531005859375"
"331776","81","81","81","0.5732421875","0.5732421875","0.5732421875"
"335872","82","82","82","0.597412109375","0.597412109375","0.597412109375"
"339968","83","83","83","0.56787109375","0.56787109375","0.56787109375"
"344064","84","84","84","0.506103515625","0.506103515625","0.506103515625"
"348160","85","85","85","0.45849609375","0.45849609375","0.45849609375"
"352256","86","86","86","0.3662109375","0.3662109375","0.3662109375"
"356352","87","87","87","0.386962890625","0.386962890625","0.386962890625"
