"env_step","pqn_Breakout-MinAtar - _step","pqn_Breakout-MinAtar - _step__MIN","pqn_Breakout-MinAtar - _step__MAX","pqn_Breakout-MinAtar - returned_episode_returns","pqn_Breakout-MinAtar - returned_episode_returns__MIN","pqn_Breakout-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.1455078125","0.1455078125","0.1455078125"
"8192","2","2","2","0.4130859375","0.4130859375","0.4130859375"
"12288","3","3","3","0.432373046875","0.432373046875","0.432373046875"
"16384","4","4","4","0.45654296875","0.45654296875","0.45654296875"
"20480","5","5","5","0.39013671875","0.39013671875","0.39013671875"
"24576","6","6","6","0.432373046875","0.432373046875","0.432373046875"
"28672","7","7","7","0.464111328125","0.464111328125","0.464111328125"
"32768","8","8","8","0.460693359375","0.460693359375","0.460693359375"
"36864","9","9","9","0.460205078125","0.460205078125","0.460205078125"
"40960","10","10","10","0.422119140625","0.422119140625","0.422119140625"
"45056","11","11","11","0.435791015625","0.435791015625","0.435791015625"
"49152","12","12","12","0.418701171875","0.418701171875","0.418701171875"
"53248","13","13","13","0.38623046875","0.38623046875","0.38623046875"
"57344","14","14","14","0.460693359375","0.460693359375","0.460693359375"
"61440","15","15","15","0.458251953125","0.458251953125","0.458251953125"
"65536","16","16","16","0.4482421875","0.4482421875","0.4482421875"
"69632","17","17","17","0.45166015625","0.45166015625","0.45166015625"
"73728","18","18","18","0.487060546875","0.487060546875","0.487060546875"
"77824","19","19","19","0.4033203125","0.4033203125","0.4033203125"
"81920","20","20","20","0.501708984375","0.501708984375","0.501708984375"
"86016","21","21","21","0.44580078125","0.44580078125","0.44580078125"
"90112","22","22","22","0.440185546875","0.440185546875","0.440185546875"
"94208","23","23","23","0.476806640625","0.476806640625","0.476806640625"
"98304","24","24","24","0.468017578125","0.468017578125","0.468017578125"
"102400","25","25","25","0.462158203125","0.462158203125","0.462158203125"
"106496","26","26","26","0.419677734375","0.419677734375","0.419677734375"
"110592","27","27","27","0.499755859375","0.499755859375","0.499755859375"
"114688","28","28","28","0.49609375","0.49609375","0.49609375"
"118784","29","29","29","0.46044921875","0.46044921875","0.46044921875"
"122880","30","30","30","0.408935546875","0.408935546875","0.408935546875"
"126976","31","31","31","0.51318359375","0.51318359375","0.51318359375"
"131072","32","32","32","0.509765625","0.509765625","0.509765625"
"135168","33","33","33","0.48974609375","0.48974609375","0.48974609375"
"139264","34","34","34","0.499267578125","0.499267578125","0.499267578125"
"143360","35","35","35","0.583251953125","0.583251953125","0.583251953125"
"147456","36","36","36","0.525146484375","0.525146484375","0.525146484375"
"151552","37","37","37","0.491455078125","0.491455078125","0.491455078125"
"155648","38","38","38","0.52587890625","0.52587890625","0.52587890625"
"159744","39","39","39","0.466796875","0.466796875","0.466796875"
"163840","40","40","40","0.522216796875","0.522216796875","0.522216796875"
"167936","41","41","41","0.61962890625","0.61962890625","0.61962890625"
"172032","42","42","42","0.623779296875","0.623779296875","0.623779296875"
"176128","43","43","43","0.61181640625","0.61181640625","0.61181640625"
"180224","44","44","44","0.588623046875","0.588623046875","0.588623046875"
"184320","45","45","45","0.54345703125","0.54345703125","0.54345703125"
"188416","46","46","46","0.542724609375","0.542724609375","0.542724609375"
"192512","47","47","47","0.527099609375","0.527099609375","0.527099609375"
"196608","48","48","48","0.560302734375","0.560302734375","0.560302734375"
"200704","49","49","49","0.537353515625","0.537353515625","0.537353515625"
"204800","50","50","50","0.51611328125","0.51611328125","0.51611328125"
"208896","51","51","51","0.572509765625","0.572509765625","0.572509765625"
"212992","52","52","52","0.559326171875","0.559326171875","0.559326171875"
"217088","53","53","53","0.629638671875","0.629638671875","0.629638671875"
"221184","54","54","54","0.636962890625","0.636962890625","0.636962890625"
"225280","55","55","55","0.59521484375","0.59521484375","0.59521484375"
"229376","56","56","56","0.658447265625","0.658447265625","0.658447265625"
"233472","57","57","57","0.69189453125","0.69189453125","0.69189453125"
"237568","58","58","58","0.6123046875","0.6123046875","0.6123046875"
"241664","59","59","59","0.690185546875","0.690185546875","0.690185546875"
"245760","60","60","60","0.565185546875","0.565185546875","0.565185546875"
"249856","61","61","61","0.553466796875","0.553466796875","0.553466796875"
"253952","62","62","62","0.58740234375","0.58740234375","0.58740234375"
"258048","63","63","63","0.640869140625","0.640869140625","0.640869140625"
"262144","64","64","64","0.570556640625","0.570556640625","0.570556640625"
