"env_step","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - _step","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - _step__MIN","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - _step__MAX","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns__MIN","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.1455078125","0.1455078125","0.1455078125"
"8192","2","2","2","0.41064453125","0.41064453125","0.41064453125"
"12288","3","3","3","0.431396484375","0.431396484375","0.431396484375"
"16384","4","4","4","0.45263671875","0.45263671875","0.45263671875"
"20480","5","5","5","0.415283203125","0.415283203125","0.415283203125"
"24576","6","6","6","0.44677734375","0.44677734375","0.44677734375"
"28672","7","7","7","0.451171875","0.451171875","0.451171875"
"32768","8","8","8","0.44921875","0.44921875","0.44921875"
"36864","9","9","9","0.4541015625","0.4541015625","0.4541015625"
"40960","10","10","10","0.445068359375","0.445068359375","0.445068359375"
"45056","11","11","11","0.458984375","0.458984375","0.458984375"
"49152","12","12","12","0.43798828125","0.43798828125","0.43798828125"
"53248","13","13","13","0.385986328125","0.385986328125","0.385986328125"
"57344","14","14","14","0.491943359375","0.491943359375","0.491943359375"
"61440","15","15","15","0.4599609375","0.4599609375","0.4599609375"
"65536","16","16","16","0.43359375","0.43359375","0.43359375"
"69632","17","17","17","0.43310546875","0.43310546875","0.43310546875"
"73728","18","18","18","0.4775390625","0.4775390625","0.4775390625"
"77824","19","19","19","0.427734375","0.427734375","0.427734375"
"81920","20","20","20","0.487060546875","0.487060546875","0.487060546875"
"86016","21","21","21","0.44873046875","0.44873046875","0.44873046875"
"90112","22","22","22","0.384033203125","0.384033203125","0.384033203125"
"94208","23","23","23","0.471435546875","0.471435546875","0.471435546875"
"98304","24","24","24","0.41552734375","0.41552734375","0.41552734375"
"102400","25","25","25","0.43994140625","0.43994140625","0.43994140625"
"106496","26","26","26","0.394775390625","0.394775390625","0.394775390625"
"110592","27","27","27","0.43505859375","0.43505859375","0.43505859375"
"114688","28","28","28","0.458740234375","0.458740234375","0.458740234375"
"118784","29","29","29","0.471435546875","0.471435546875","0.471435546875"
"122880","30","30","30","0.514404296875","0.514404296875","0.514404296875"
"126976","31","31","31","0.51318359375","0.51318359375","0.51318359375"
"131072","32","32","32","0.518310546875","0.518310546875","0.518310546875"
"135168","33","33","33","0.447998046875","0.447998046875","0.447998046875"
"139264","34","34","34","0.436767578125","0.436767578125","0.436767578125"
"143360","35","35","35","0.50390625","0.50390625","0.50390625"
"147456","36","36","36","0.4736328125","0.4736328125","0.4736328125"
"151552","37","37","37","0.454345703125","0.454345703125","0.454345703125"
"155648","38","38","38","0.51708984375","0.51708984375","0.51708984375"
"159744","39","39","39","0.477783203125","0.477783203125","0.477783203125"
"163840","40","40","40","0.55126953125","0.55126953125","0.55126953125"
"167936","41","41","41","0.482666015625","0.482666015625","0.482666015625"
"172032","42","42","42","0.515869140625","0.515869140625","0.515869140625"
"176128","43","43","43","0.5380859375","0.5380859375","0.5380859375"
"180224","44","44","44","0.544677734375","0.544677734375","0.544677734375"
"184320","45","45","45","0.529052734375","0.529052734375","0.529052734375"
"188416","46","46","46","0.52001953125","0.52001953125","0.52001953125"
"192512","47","47","47","0.44873046875","0.44873046875","0.44873046875"
"196608","48","48","48","0.56591796875","0.56591796875","0.56591796875"
"200704","49","49","49","0.50732421875","0.50732421875","0.50732421875"
"204800","50","50","50","0.534912109375","0.534912109375","0.534912109375"
"208896","51","51","51","0.642578125","0.642578125","0.642578125"
"212992","52","52","52","0.466796875","0.466796875","0.466796875"
"217088","53","53","53","0.537841796875","0.537841796875","0.537841796875"
"221184","54","54","54","0.613037109375","0.613037109375","0.613037109375"
"225280","55","55","55","0.612060546875","0.612060546875","0.612060546875"
"229376","56","56","56","0.531982421875","0.531982421875","0.531982421875"
"233472","57","57","57","0.570556640625","0.570556640625","0.570556640625"
"237568","58","58","58","0.59814453125","0.59814453125","0.59814453125"
"241664","59","59","59","0.608154296875","0.608154296875","0.608154296875"
"245760","60","60","60","0.52783203125","0.52783203125","0.52783203125"
"249856","61","61","61","0.5556640625","0.5556640625","0.5556640625"
"253952","62","62","62","0.537841796875","0.537841796875","0.537841796875"
"258048","63","63","63","0.6064453125","0.6064453125","0.6064453125"
"262144","64","64","64","0.65625","0.65625","0.65625"
"266240","65","65","65","0.520751953125","0.520751953125","0.520751953125"
"270336","66","66","66","0.55078125","0.55078125","0.55078125"
