"env_step","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - _step","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - _step__MIN","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - _step__MAX","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns__MIN","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.1455078125","0.1455078125","0.1455078125"
"8192","2","2","2","0.41064453125","0.41064453125","0.41064453125"
"12288","3","3","3","0.430908203125","0.430908203125","0.430908203125"
"16384","4","4","4","0.4462890625","0.4462890625","0.4462890625"
"20480","5","5","5","0.407470703125","0.407470703125","0.407470703125"
"24576","6","6","6","0.451904296875","0.451904296875","0.451904296875"
"28672","7","7","7","0.43505859375","0.43505859375","0.43505859375"
"32768","8","8","8","0.4326171875","0.4326171875","0.4326171875"
"36864","9","9","9","0.41064453125","0.41064453125","0.41064453125"
"40960","10","10","10","0.477294921875","0.477294921875","0.477294921875"
"45056","11","11","11","0.45166015625","0.45166015625","0.45166015625"
"49152","12","12","12","0.470703125","0.470703125","0.470703125"
"53248","13","13","13","0.430419921875","0.430419921875","0.430419921875"
"57344","14","14","14","0.486572265625","0.486572265625","0.486572265625"
"61440","15","15","15","0.453369140625","0.453369140625","0.453369140625"
"65536","16","16","16","0.469970703125","0.469970703125","0.469970703125"
"69632","17","17","17","0.4423828125","0.4423828125","0.4423828125"
"73728","18","18","18","0.479736328125","0.479736328125","0.479736328125"
"77824","19","19","19","0.38330078125","0.38330078125","0.38330078125"
"81920","20","20","20","0.42626953125","0.42626953125","0.42626953125"
"86016","21","21","21","0.4287109375","0.4287109375","0.4287109375"
"90112","22","22","22","0.457763671875","0.457763671875","0.457763671875"
"94208","23","23","23","0.519287109375","0.519287109375","0.519287109375"
"98304","24","24","24","0.443603515625","0.443603515625","0.443603515625"
"102400","25","25","25","0.476806640625","0.476806640625","0.476806640625"
"106496","26","26","26","0.431640625","0.431640625","0.431640625"
"110592","27","27","27","0.472900390625","0.472900390625","0.472900390625"
"114688","28","28","28","0.49560546875","0.49560546875","0.49560546875"
"118784","29","29","29","0.482421875","0.482421875","0.482421875"
"122880","30","30","30","0.464599609375","0.464599609375","0.464599609375"
"126976","31","31","31","0.56494140625","0.56494140625","0.56494140625"
"131072","32","32","32","0.498291015625","0.498291015625","0.498291015625"
"135168","33","33","33","0.5146484375","0.5146484375","0.5146484375"
"139264","34","34","34","0.49072265625","0.49072265625","0.49072265625"
"143360","35","35","35","0.515380859375","0.515380859375","0.515380859375"
"147456","36","36","36","0.530029296875","0.530029296875","0.530029296875"
"151552","37","37","37","0.550537109375","0.550537109375","0.550537109375"
"155648","38","38","38","0.52294921875","0.52294921875","0.52294921875"
"159744","39","39","39","0.478271484375","0.478271484375","0.478271484375"
"163840","40","40","40","0.463134765625","0.463134765625","0.463134765625"
"167936","41","41","41","0.5859375","0.5859375","0.5859375"
"172032","42","42","42","0.570068359375","0.570068359375","0.570068359375"
"176128","43","43","43","0.515625","0.515625","0.515625"
"180224","44","44","44","0.566650390625","0.566650390625","0.566650390625"
"184320","45","45","45","0.492919921875","0.492919921875","0.492919921875"
"188416","46","46","46","0.54248046875","0.54248046875","0.54248046875"
"192512","47","47","47","0.509521484375","0.509521484375","0.509521484375"
"196608","48","48","48","0.57666015625","0.57666015625","0.57666015625"
"200704","49","49","49","0.499267578125","0.499267578125","0.499267578125"
"204800","50","50","50","0.57568359375","0.57568359375","0.57568359375"
"208896","51","51","51","0.580078125","0.580078125","0.580078125"
"212992","52","52","52","0.5615234375","0.5615234375","0.5615234375"
"217088","53","53","53","0.53369140625","0.53369140625","0.53369140625"
"221184","54","54","54","0.6162109375","0.6162109375","0.6162109375"
"225280","55","55","55","0.52783203125","0.52783203125","0.52783203125"
"229376","56","56","56","0.538818359375","0.538818359375","0.538818359375"
"233472","57","57","57","0.587646484375","0.587646484375","0.587646484375"
"237568","58","58","58","0.546630859375","0.546630859375","0.546630859375"
"241664","59","59","59","0.623046875","0.623046875","0.623046875"
"245760","60","60","60","0.56689453125","0.56689453125","0.56689453125"
"249856","61","61","61","0.574951171875","0.574951171875","0.574951171875"
"253952","62","62","62","0.60009765625","0.60009765625","0.60009765625"
"258048","63","63","63","0.6220703125","0.6220703125","0.6220703125"
"262144","64","64","64","0.637939453125","0.637939453125","0.637939453125"
"266240","65","65","65","0.582275390625","0.582275390625","0.582275390625"
"270336","66","66","66","0.632568359375","0.632568359375","0.632568359375"
