"env_step","Breakout-MinAtar_Transfer_From_SpaceInvaders-MinAtar - _step","Breakout-MinAtar_Transfer_From_SpaceInvaders-MinAtar - _step__MIN","Breakout-MinAtar_Transfer_From_SpaceInvaders-MinAtar - _step__MAX","Breakout-MinAtar_Transfer_From_SpaceInvaders-MinAtar - returned_episode_returns","Breakout-MinAtar_Transfer_From_SpaceInvaders-MinAtar - returned_episode_returns__MIN","Breakout-MinAtar_Transfer_From_SpaceInvaders-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.1455078125","0.1455078125","0.1455078125"
"8192","2","2","2","0.4013671875","0.4013671875","0.4013671875"
"12288","3","3","3","0.4140625","0.4140625","0.4140625"
"16384","4","4","4","0.436279296875","0.436279296875","0.436279296875"
"20480","5","5","5","0.39599609375","0.39599609375","0.39599609375"
"24576","6","6","6","0.424560546875","0.424560546875","0.424560546875"
"28672","7","7","7","0.443603515625","0.443603515625","0.443603515625"
"32768","8","8","8","0.460205078125","0.460205078125","0.460205078125"
"36864","9","9","9","0.402099609375","0.402099609375","0.402099609375"
"40960","10","10","10","0.427490234375","0.427490234375","0.427490234375"
"45056","11","11","11","0.42822265625","0.42822265625","0.42822265625"
"49152","12","12","12","0.38330078125","0.38330078125","0.38330078125"
"53248","13","13","13","0.4169921875","0.4169921875","0.4169921875"
"57344","14","14","14","0.4423828125","0.4423828125","0.4423828125"
"61440","15","15","15","0.44189453125","0.44189453125","0.44189453125"
"65536","16","16","16","0.460205078125","0.460205078125","0.460205078125"
"69632","17","17","17","0.462646484375","0.462646484375","0.462646484375"
"73728","18","18","18","0.50439453125","0.50439453125","0.50439453125"
"77824","19","19","19","0.41845703125","0.41845703125","0.41845703125"
"81920","20","20","20","0.4794921875","0.4794921875","0.4794921875"
"86016","21","21","21","0.441162109375","0.441162109375","0.441162109375"
"90112","22","22","22","0.474365234375","0.474365234375","0.474365234375"
"94208","23","23","23","0.45458984375","0.45458984375","0.45458984375"
"98304","24","24","24","0.3798828125","0.3798828125","0.3798828125"
"102400","25","25","25","0.47509765625","0.47509765625","0.47509765625"
"106496","26","26","26","0.43310546875","0.43310546875","0.43310546875"
"110592","27","27","27","0.435791015625","0.435791015625","0.435791015625"
"114688","28","28","28","0.5029296875","0.5029296875","0.5029296875"
"118784","29","29","29","0.46923828125","0.46923828125","0.46923828125"
"122880","30","30","30","0.474853515625","0.474853515625","0.474853515625"
"126976","31","31","31","0.498291015625","0.498291015625","0.498291015625"
"131072","32","32","32","0.489013671875","0.489013671875","0.489013671875"
"135168","33","33","33","0.52294921875","0.52294921875","0.52294921875"
"139264","34","34","34","0.466552734375","0.466552734375","0.466552734375"
"143360","35","35","35","0.5546875","0.5546875","0.5546875"
"147456","36","36","36","0.5234375","0.5234375","0.5234375"
"151552","37","37","37","0.484130859375","0.484130859375","0.484130859375"
"155648","38","38","38","0.461669921875","0.461669921875","0.461669921875"
"159744","39","39","39","0.49755859375","0.49755859375","0.49755859375"
"163840","40","40","40","0.546875","0.546875","0.546875"
"167936","41","41","41","0.619873046875","0.619873046875","0.619873046875"
"172032","42","42","42","0.575439453125","0.575439453125","0.575439453125"
"176128","43","43","43","0.556884765625","0.556884765625","0.556884765625"
"180224","44","44","44","0.559326171875","0.559326171875","0.559326171875"
"184320","45","45","45","0.519775390625","0.519775390625","0.519775390625"
"188416","46","46","46","0.488037109375","0.488037109375","0.488037109375"
"192512","47","47","47","0.49755859375","0.49755859375","0.49755859375"
"196608","48","48","48","0.55419921875","0.55419921875","0.55419921875"
"200704","49","49","49","0.52392578125","0.52392578125","0.52392578125"
"204800","50","50","50","0.56640625","0.56640625","0.56640625"
"208896","51","51","51","0.598876953125","0.598876953125","0.598876953125"
"212992","52","52","52","0.46533203125","0.46533203125","0.46533203125"
"217088","53","53","53","0.505859375","0.505859375","0.505859375"
"221184","54","54","54","0.552734375","0.552734375","0.552734375"
"225280","55","55","55","0.507568359375","0.507568359375","0.507568359375"
"229376","56","56","56","0.606201171875","0.606201171875","0.606201171875"
"233472","57","57","57","0.568359375","0.568359375","0.568359375"
"237568","58","58","58","0.522216796875","0.522216796875","0.522216796875"
"241664","59","59","59","0.64697265625","0.64697265625","0.64697265625"
"245760","60","60","60","0.53955078125","0.53955078125","0.53955078125"
"249856","61","61","61","0.549560546875","0.549560546875","0.549560546875"
"253952","62","62","62","0.550048828125","0.550048828125","0.550048828125"
"258048","63","63","63","0.538330078125","0.538330078125","0.538330078125"
"262144","64","64","64","0.677734375","0.677734375","0.677734375"
"266240","65","65","65","0.60205078125","0.60205078125","0.60205078125"
"270336","66","66","66","0.67431640625","0.67431640625","0.67431640625"
"274432","67","67","67","0.640869140625","0.640869140625","0.640869140625"
"278528","68","68","68","0.590087890625","0.590087890625","0.590087890625"
"282624","69","69","69","0.625","0.625","0.625"
"286720","70","70","70","0.677978515625","0.677978515625","0.677978515625"
"290816","71","71","71","0.64111328125","0.64111328125","0.64111328125"
"294912","72","72","72","0.62841796875","0.62841796875","0.62841796875"
"299008","73","73","73","0.572265625","0.572265625","0.572265625"
"303104","74","74","74","0.539306640625","0.539306640625","0.539306640625"
"307200","75","75","75","0.616943359375","0.616943359375","0.616943359375"
"311296","76","76","76","0.630859375","0.630859375","0.630859375"
"315392","77","77","77","0.6328125","0.6328125","0.6328125"
"319488","78","78","78","0.7373046875","0.7373046875","0.7373046875"
"323584","79","79","79","0.736083984375","0.736083984375","0.736083984375"
"327680","80","80","80","0.660888671875","0.660888671875","0.660888671875"
"331776","81","81","81","0.704345703125","0.704345703125","0.704345703125"
"335872","82","82","82","0.680419921875","0.680419921875","0.680419921875"
"339968","83","83","83","0.7578125","0.7578125","0.7578125"
"344064","84","84","84","0.78515625","0.78515625","0.78515625"
"348160","85","85","85","0.688720703125","0.688720703125","0.688720703125"
"352256","86","86","86","0.65234375","0.65234375","0.65234375"
"356352","87","87","87","0.6494140625","0.6494140625","0.6494140625"
"360448","88","88","88","0.662353515625","0.662353515625","0.662353515625"
"364544","89","89","89","0.756103515625","0.756103515625","0.756103515625"
"368640","90","90","90","0.77099609375","0.77099609375","0.77099609375"
"372736","91","91","91","0.777099609375","0.777099609375","0.777099609375"
"376832","92","92","92","0.82421875","0.82421875","0.82421875"
"380928","93","93","93","0.81396484375","0.81396484375","0.81396484375"
"385024","94","94","94","0.815185546875","0.815185546875","0.815185546875"
"389120","95","95","95","0.787109375","0.787109375","0.787109375"
"393216","96","96","96","0.73681640625","0.73681640625","0.73681640625"
"397312","97","97","97","0.750244140625","0.750244140625","0.750244140625"
"401408","98","98","98","0.782470703125","0.782470703125","0.782470703125"
"405504","99","99","99","0.802490234375","0.802490234375","0.802490234375"
"409600","100","100","100","0.858642578125","0.858642578125","0.858642578125"
"413696","101","101","101","0.732421875","0.732421875","0.732421875"
"417792","102","102","102","0.721435546875","0.721435546875","0.721435546875"
"421888","103","103","103","0.759765625","0.759765625","0.759765625"
"425984","104","104","104","0.75830078125","0.75830078125","0.75830078125"
"430080","105","105","105","0.7431640625","0.7431640625","0.7431640625"
"434176","106","106","106","0.8046875","0.8046875","0.8046875"
"438272","107","107","107","0.811767578125","0.811767578125","0.811767578125"
"442368","108","108","108","0.76611328125","0.76611328125","0.76611328125"
"446464","109","109","109","0.794677734375","0.794677734375","0.794677734375"
"450560","110","110","110","0.75341796875","0.75341796875","0.75341796875"
"454656","111","111","111","0.79541015625","0.79541015625","0.79541015625"
"458752","112","112","112","0.86376953125","0.86376953125","0.86376953125"
"462848","113","113","113","0.8408203125","0.8408203125","0.8408203125"
"466944","114","114","114","0.780029296875","0.780029296875","0.780029296875"
"471040","115","115","115","0.876708984375","0.876708984375","0.876708984375"
"475136","116","116","116","0.89599609375","0.89599609375","0.89599609375"
"479232","117","117","117","0.859375","0.859375","0.859375"
"483328","118","118","118","0.7578125","0.7578125","0.7578125"
"487424","119","119","119","0.818603515625","0.818603515625","0.818603515625"
"491520","120","120","120","0.959228515625","0.959228515625","0.959228515625"
"495616","121","121","121","0.968994140625","0.968994140625","0.968994140625"
"499712","122","122","122","0.92919921875","0.92919921875","0.92919921875"
"503808","123","123","123","0.835205078125","0.835205078125","0.835205078125"
"507904","124","124","124","0.826904296875","0.826904296875","0.826904296875"
"512000","125","125","125","0.942138671875","0.942138671875","0.942138671875"
"516096","126","126","126","0.875244140625","0.875244140625","0.875244140625"
"520192","127","127","127","0.870361328125","0.870361328125","0.870361328125"
"524288","128","128","128","0.992919921875","0.992919921875","0.992919921875"
"528384","129","129","129","0.850341796875","0.850341796875","0.850341796875"
"532480","130","130","130","0.8408203125","0.8408203125","0.8408203125"
"536576","131","131","131","0.841552734375","0.841552734375","0.841552734375"
"540672","132","132","132","0.89306640625","0.89306640625","0.89306640625"
"544768","133","133","133","0.937255859375","0.937255859375","0.937255859375"
"548864","134","134","134","0.9560546875","0.9560546875","0.9560546875"
"552960","135","135","135","0.87158203125","0.87158203125","0.87158203125"
"557056","136","136","136","0.86083984375","0.86083984375","0.86083984375"
"561152","137","137","137","1.0126953125","1.0126953125","1.0126953125"
"565248","138","138","138","0.9775390625","0.9775390625","0.9775390625"
"569344","139","139","139","0.9091796875","0.9091796875","0.9091796875"
"573440","140","140","140","0.968994140625","0.968994140625","0.968994140625"
"577536","141","141","141","0.9921875","0.9921875","0.9921875"
"581632","142","142","142","0.924560546875","0.924560546875","0.924560546875"
"585728","143","143","143","0.922119140625","0.922119140625","0.922119140625"
"589824","144","144","144","0.806640625","0.806640625","0.806640625"
"593920","145","145","145","0.871826171875","0.871826171875","0.871826171875"
"598016","146","146","146","1.06982421875","1.06982421875","1.06982421875"
"602112","147","147","147","1.067138671875","1.067138671875","1.067138671875"
"606208","148","148","148","0.986328125","0.986328125","0.986328125"
"610304","149","149","149","1.203369140625","1.203369140625","1.203369140625"
"614400","150","150","150","1.03759765625","1.03759765625","1.03759765625"
"618496","151","151","151","1.001220703125","1.001220703125","1.001220703125"
"622592","152","152","152","1.2265625","1.2265625","1.2265625"
"626688","153","153","153","1.02392578125","1.02392578125","1.02392578125"
"630784","154","154","154","0.91162109375","0.91162109375","0.91162109375"
"634880","155","155","155","0.985595703125","0.985595703125","0.985595703125"
"638976","156","156","156","1.036865234375","1.036865234375","1.036865234375"
"643072","157","157","157","1.052490234375","1.052490234375","1.052490234375"
"647168","158","158","158","1.007568359375","1.007568359375","1.007568359375"
"651264","159","159","159","0.8955078125","0.8955078125","0.8955078125"
"655360","160","160","160","1.104736328125","1.104736328125","1.104736328125"
"659456","161","161","161","1.046630859375","1.046630859375","1.046630859375"
"663552","162","162","162","1.22705078125","1.22705078125","1.22705078125"
"667648","163","163","163","1.09033203125","1.09033203125","1.09033203125"
"671744","164","164","164","0.9326171875","0.9326171875","0.9326171875"
"675840","165","165","165","1.025146484375","1.025146484375","1.025146484375"
"679936","166","166","166","1.05419921875","1.05419921875","1.05419921875"
"684032","167","167","167","1.066650390625","1.066650390625","1.066650390625"
"688128","168","168","168","1.1337890625","1.1337890625","1.1337890625"
"692224","169","169","169","1.16796875","1.16796875","1.16796875"
"696320","170","170","170","1.081298828125","1.081298828125","1.081298828125"
"700416","171","171","171","1.150390625","1.150390625","1.150390625"
"704512","172","172","172","1.264892578125","1.264892578125","1.264892578125"
"708608","173","173","173","1.232177734375","1.232177734375","1.232177734375"
"712704","174","174","174","1.044189453125","1.044189453125","1.044189453125"
"716800","175","175","175","1.151611328125","1.151611328125","1.151611328125"
"720896","176","176","176","1.13916015625","1.13916015625","1.13916015625"
"724992","177","177","177","1.255859375","1.255859375","1.255859375"
"729088","178","178","178","1.4892578125","1.4892578125","1.4892578125"
"733184","179","179","179","1.2646484375","1.2646484375","1.2646484375"
"737280","180","180","180","1.1201171875","1.1201171875","1.1201171875"
"741376","181","181","181","1.2353515625","1.2353515625","1.2353515625"
"745472","182","182","182","1.18896484375","1.18896484375","1.18896484375"
"749568","183","183","183","1.124755859375","1.124755859375","1.124755859375"
"753664","184","184","184","1.263427734375","1.263427734375","1.263427734375"
"757760","185","185","185","1.199951171875","1.199951171875","1.199951171875"
"761856","186","186","186","1.183837890625","1.183837890625","1.183837890625"
"765952","187","187","187","1.18994140625","1.18994140625","1.18994140625"
"770048","188","188","188","1.136474609375","1.136474609375","1.136474609375"
"774144","189","189","189","1.191650390625","1.191650390625","1.191650390625"
"778240","190","190","190","1.121826171875","1.121826171875","1.121826171875"
"782336","191","191","191","1.353759765625","1.353759765625","1.353759765625"
"786432","192","192","192","1.390625","1.390625","1.390625"
"790528","193","193","193","1.419189453125","1.419189453125","1.419189453125"
"794624","194","194","194","1.383056640625","1.383056640625","1.383056640625"
"798720","195","195","195","1.428466796875","1.428466796875","1.428466796875"
"802816","196","196","196","1.314697265625","1.314697265625","1.314697265625"
"806912","197","197","197","1.39013671875","1.39013671875","1.39013671875"
"811008","198","198","198","1.239501953125","1.239501953125","1.239501953125"
"815104","199","199","199","1.20556640625","1.20556640625","1.20556640625"
"819200","200","200","200","1.169189453125","1.169189453125","1.169189453125"
"823296","201","201","201","1.20703125","1.20703125","1.20703125"
"827392","202","202","202","1.202880859375","1.202880859375","1.202880859375"
"831488","203","203","203","1.403076171875","1.403076171875","1.403076171875"
"835584","204","204","204","1.408935546875","1.408935546875","1.408935546875"
"839680","205","205","205","1.514892578125","1.514892578125","1.514892578125"
"843776","206","206","206","1.489501953125","1.489501953125","1.489501953125"
"847872","207","207","207","1.392822265625","1.392822265625","1.392822265625"
"851968","208","208","208","1.54736328125","1.54736328125","1.54736328125"
"856064","209","209","209","1.5888671875","1.5888671875","1.5888671875"
"860160","210","210","210","1.3984375","1.3984375","1.3984375"
"864256","211","211","211","1.442138671875","1.442138671875","1.442138671875"
"868352","212","212","212","1.46435546875","1.46435546875","1.46435546875"
"872448","213","213","213","1.482421875","1.482421875","1.482421875"
"876544","214","214","214","1.533447265625","1.533447265625","1.533447265625"
"880640","215","215","215","1.6318359375","1.6318359375","1.6318359375"
"884736","216","216","216","1.5791015625","1.5791015625","1.5791015625"
"888832","217","217","217","1.434326171875","1.434326171875","1.434326171875"
"892928","218","218","218","1.7216796875","1.7216796875","1.7216796875"
"897024","219","219","219","1.7744140625","1.7744140625","1.7744140625"
"901120","220","220","220","1.52197265625","1.52197265625","1.52197265625"
"905216","221","221","221","1.5185546875","1.5185546875","1.5185546875"
"909312","222","222","222","1.579345703125","1.579345703125","1.579345703125"
"913408","223","223","223","1.596923828125","1.596923828125","1.596923828125"
"917504","224","224","224","1.578369140625","1.578369140625","1.578369140625"
"921600","225","225","225","1.78515625","1.78515625","1.78515625"
"925696","226","226","226","1.61083984375","1.61083984375","1.61083984375"
"929792","227","227","227","1.589599609375","1.589599609375","1.589599609375"
"933888","228","228","228","1.50341796875","1.50341796875","1.50341796875"
"937984","229","229","229","1.66650390625","1.66650390625","1.66650390625"
"942080","230","230","230","1.6279296875","1.6279296875","1.6279296875"
"946176","231","231","231","1.611572265625","1.611572265625","1.611572265625"
"950272","232","232","232","1.5634765625","1.5634765625","1.5634765625"
"954368","233","233","233","1.655517578125","1.655517578125","1.655517578125"
