"env_step","pqn_SpaceInvaders-MinAtar - _step","pqn_SpaceInvaders-MinAtar - _step__MIN","pqn_SpaceInvaders-MinAtar - _step__MAX","pqn_SpaceInvaders-MinAtar - returned_episode_returns","pqn_SpaceInvaders-MinAtar - returned_episode_returns__MIN","pqn_SpaceInvaders-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.30810546875","0.30810546875","0.30810546875"
"8192","2","2","2","1.752685546875","1.752685546875","1.752685546875"
"12288","3","3","3","2.8896484375","2.8896484375","2.8896484375"
"16384","4","4","4","3.52880859375","3.52880859375","3.52880859375"
"20480","5","5","5","4.195068359375","4.195068359375","4.195068359375"
"24576","6","6","6","4.7197265625","4.7197265625","4.7197265625"
"28672","7","7","7","4.62841796875","4.62841796875","4.62841796875"
"32768","8","8","8","4.2060546875","4.2060546875","4.2060546875"
"36864","9","9","9","4.12646484375","4.12646484375","4.12646484375"
"40960","10","10","10","3.8173828125","3.8173828125","3.8173828125"
"45056","11","11","11","3.920166015625","3.920166015625","3.920166015625"
"49152","12","12","12","4.018798828125","4.018798828125","4.018798828125"
"53248","13","13","13","4.14453125","4.14453125","4.14453125"
"57344","14","14","14","3.653076171875","3.653076171875","3.653076171875"
"61440","15","15","15","4.1669921875","4.1669921875","4.1669921875"
"65536","16","16","16","4.310791015625","4.310791015625","4.310791015625"
"69632","17","17","17","4.107177734375","4.107177734375","4.107177734375"
"73728","18","18","18","4.086181640625","4.086181640625","4.086181640625"
"77824","19","19","19","4.468994140625","4.468994140625","4.468994140625"
"81920","20","20","20","4.68701171875","4.68701171875","4.68701171875"
"86016","21","21","21","4.5576171875","4.5576171875","4.5576171875"
"90112","22","22","22","4.630126953125","4.630126953125","4.630126953125"
"94208","23","23","23","4.435791015625","4.435791015625","4.435791015625"
"98304","24","24","24","4.33203125","4.33203125","4.33203125"
"102400","25","25","25","4.3251953125","4.3251953125","4.3251953125"
"106496","26","26","26","4.398681640625","4.398681640625","4.398681640625"
"110592","27","27","27","4.21728515625","4.21728515625","4.21728515625"
"114688","28","28","28","3.947998046875","3.947998046875","3.947998046875"
"118784","29","29","29","4.419921875","4.419921875","4.419921875"
"122880","30","30","30","4.52587890625","4.52587890625","4.52587890625"
"126976","31","31","31","4.450927734375","4.450927734375","4.450927734375"
"131072","32","32","32","4.5400390625","4.5400390625","4.5400390625"
"135168","33","33","33","4.86328125","4.86328125","4.86328125"
"139264","34","34","34","5.11865234375","5.11865234375","5.11865234375"
"143360","35","35","35","4.9990234375","4.9990234375","4.9990234375"
"147456","36","36","36","4.973876953125","4.973876953125","4.973876953125"
"151552","37","37","37","4.65380859375","4.65380859375","4.65380859375"
"155648","38","38","38","4.822998046875","4.822998046875","4.822998046875"
"159744","39","39","39","4.90771484375","4.90771484375","4.90771484375"
"163840","40","40","40","4.91845703125","4.91845703125","4.91845703125"
"167936","41","41","41","5.143310546875","5.143310546875","5.143310546875"
"172032","42","42","42","5.306396484375","5.306396484375","5.306396484375"
"176128","43","43","43","5.421875","5.421875","5.421875"
"180224","44","44","44","5.078125","5.078125","5.078125"
"184320","45","45","45","5.038818359375","5.038818359375","5.038818359375"
"188416","46","46","46","4.980224609375","4.980224609375","4.980224609375"
"192512","47","47","47","5.00341796875","5.00341796875","5.00341796875"
"196608","48","48","48","5.076904296875","5.076904296875","5.076904296875"
"200704","49","49","49","4.8505859375","4.8505859375","4.8505859375"
"204800","50","50","50","4.66943359375","4.66943359375","4.66943359375"
"208896","51","51","51","4.79248046875","4.79248046875","4.79248046875"
"212992","52","52","52","4.8564453125","4.8564453125","4.8564453125"
"217088","53","53","53","4.75830078125","4.75830078125","4.75830078125"
"221184","54","54","54","4.738037109375","4.738037109375","4.738037109375"
"225280","55","55","55","4.921875","4.921875","4.921875"
"229376","56","56","56","5.313720703125","5.313720703125","5.313720703125"
"233472","57","57","57","5.77392578125","5.77392578125","5.77392578125"
"237568","58","58","58","6.121826171875","6.121826171875","6.121826171875"
"241664","59","59","59","5.64453125","5.64453125","5.64453125"
"245760","60","60","60","5.310302734375","5.310302734375","5.310302734375"
"249856","61","61","61","5.3212890625","5.3212890625","5.3212890625"
"253952","62","62","62","5.55322265625","5.55322265625","5.55322265625"
"258048","63","63","63","5.792724609375","5.792724609375","5.792724609375"
"262144","64","64","64","5.384765625","5.384765625","5.384765625"
"266240","65","65","65","5.466064453125","5.466064453125","5.466064453125"
"270336","66","66","66","5.585205078125","5.585205078125","5.585205078125"
"274432","67","67","67","5.55859375","5.55859375","5.55859375"
"278528","68","68","68","5.5048828125","5.5048828125","5.5048828125"
"282624","69","69","69","5.645751953125","5.645751953125","5.645751953125"
"286720","70","70","70","5.748046875","5.748046875","5.748046875"
"290816","71","71","71","5.466796875","5.466796875","5.466796875"
"294912","72","72","72","5.837646484375","5.837646484375","5.837646484375"
"299008","73","73","73","5.7275390625","5.7275390625","5.7275390625"
"303104","74","74","74","5.987548828125","5.987548828125","5.987548828125"
"307200","75","75","75","5.909423828125","5.909423828125","5.909423828125"
"311296","76","76","76","5.8505859375","5.8505859375","5.8505859375"
"315392","77","77","77","5.608154296875","5.608154296875","5.608154296875"
"319488","78","78","78","5.55322265625","5.55322265625","5.55322265625"
"323584","79","79","79","5.57421875","5.57421875","5.57421875"
"327680","80","80","80","6.075927734375","6.075927734375","6.075927734375"
"331776","81","81","81","6.5283203125","6.5283203125","6.5283203125"
"335872","82","82","82","6.49853515625","6.49853515625","6.49853515625"
"339968","83","83","83","6.844970703125","6.844970703125","6.844970703125"
"344064","84","84","84","6.5654296875","6.5654296875","6.5654296875"
"348160","85","85","85","6.542236328125","6.542236328125","6.542236328125"
"352256","86","86","86","6.49365234375","6.49365234375","6.49365234375"
"356352","87","87","87","6.38671875","6.38671875","6.38671875"
"360448","88","88","88","6.23291015625","6.23291015625","6.23291015625"
"364544","89","89","89","6.23291015625","6.23291015625","6.23291015625"
"368640","90","90","90","5.789794921875","5.789794921875","5.789794921875"
"372736","91","91","91","6.07177734375","6.07177734375","6.07177734375"
"376832","92","92","92","6.2548828125","6.2548828125","6.2548828125"
"380928","93","93","93","6.7783203125","6.7783203125","6.7783203125"
"385024","94","94","94","6.942138671875","6.942138671875","6.942138671875"
"389120","95","95","95","6.54248046875","6.54248046875","6.54248046875"
"393216","96","96","96","6.506591796875","6.506591796875","6.506591796875"
"397312","97","97","97","7.128662109375","7.128662109375","7.128662109375"
"401408","98","98","98","6.81396484375","6.81396484375","6.81396484375"
"405504","99","99","99","6.800537109375","6.800537109375","6.800537109375"
"409600","100","100","100","6.78466796875","6.78466796875","6.78466796875"
"413696","101","101","101","7.064453125","7.064453125","7.064453125"
"417792","102","102","102","7.126708984375","7.126708984375","7.126708984375"
"421888","103","103","103","7.8525390625","7.8525390625","7.8525390625"
"425984","104","104","104","7.4375","7.4375","7.4375"
"430080","105","105","105","7.46435546875","7.46435546875","7.46435546875"
"434176","106","106","106","7.473388671875","7.473388671875","7.473388671875"
"438272","107","107","107","7.37451171875","7.37451171875","7.37451171875"
"442368","108","108","108","7.380859375","7.380859375","7.380859375"
"446464","109","109","109","7.305908203125","7.305908203125","7.305908203125"
"450560","110","110","110","7.276123046875","7.276123046875","7.276123046875"
"454656","111","111","111","7.883056640625","7.883056640625","7.883056640625"
"458752","112","112","112","8.166015625","8.166015625","8.166015625"
"462848","113","113","113","8.126708984375","8.126708984375","8.126708984375"
"466944","114","114","114","8.146728515625","8.146728515625","8.146728515625"
"471040","115","115","115","8.0400390625","8.0400390625","8.0400390625"
"475136","116","116","116","8.26611328125","8.26611328125","8.26611328125"
"479232","117","117","117","8.1689453125","8.1689453125","8.1689453125"
"483328","118","118","118","8.046142578125","8.046142578125","8.046142578125"
"487424","119","119","119","8.406494140625","8.406494140625","8.406494140625"
"491520","120","120","120","8.349853515625","8.349853515625","8.349853515625"
"495616","121","121","121","8.232177734375","8.232177734375","8.232177734375"
"499712","122","122","122","8.267333984375","8.267333984375","8.267333984375"
"503808","123","123","123","7.934814453125","7.934814453125","7.934814453125"
"507904","124","124","124","7.231201171875","7.231201171875","7.231201171875"
"512000","125","125","125","7.880126953125","7.880126953125","7.880126953125"
"516096","126","126","126","8.2431640625","8.2431640625","8.2431640625"
"520192","127","127","127","7.805419921875","7.805419921875","7.805419921875"
"524288","128","128","128","8.898681640625","8.898681640625","8.898681640625"
"528384","129","129","129","8.92138671875","8.92138671875","8.92138671875"
"532480","130","130","130","8.849853515625","8.849853515625","8.849853515625"
"536576","131","131","131","7.95166015625","7.95166015625","7.95166015625"
"540672","132","132","132","7.70654296875","7.70654296875","7.70654296875"
"544768","133","133","133","8.173828125","8.173828125","8.173828125"
