"env_step","SpaceInvaders-MinAtar_Transfer_From_Asterix-MinAtar - _step","SpaceInvaders-MinAtar_Transfer_From_Asterix-MinAtar - _step__MIN","SpaceInvaders-MinAtar_Transfer_From_Asterix-MinAtar - _step__MAX","SpaceInvaders-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns","SpaceInvaders-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns__MIN","SpaceInvaders-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.30810546875","0.30810546875","0.30810546875"
"8192","2","2","2","1.759033203125","1.759033203125","1.759033203125"
"12288","3","3","3","2.934814453125","2.934814453125","2.934814453125"
"16384","4","4","4","3.616455078125","3.616455078125","3.616455078125"
"20480","5","5","5","4.18212890625","4.18212890625","4.18212890625"
"24576","6","6","6","4.55224609375","4.55224609375","4.55224609375"
"28672","7","7","7","4.2841796875","4.2841796875","4.2841796875"
"32768","8","8","8","4.017822265625","4.017822265625","4.017822265625"
"36864","9","9","9","3.78369140625","3.78369140625","3.78369140625"
"40960","10","10","10","3.75927734375","3.75927734375","3.75927734375"
"45056","11","11","11","3.859130859375","3.859130859375","3.859130859375"
"49152","12","12","12","3.909912109375","3.909912109375","3.909912109375"
"53248","13","13","13","4.083251953125","4.083251953125","4.083251953125"
"57344","14","14","14","3.882568359375","3.882568359375","3.882568359375"
"61440","15","15","15","4.1689453125","4.1689453125","4.1689453125"
"65536","16","16","16","4.158935546875","4.158935546875","4.158935546875"
"69632","17","17","17","4.33544921875","4.33544921875","4.33544921875"
"73728","18","18","18","4.6123046875","4.6123046875","4.6123046875"
"77824","19","19","19","4.895751953125","4.895751953125","4.895751953125"
"81920","20","20","20","4.722900390625","4.722900390625","4.722900390625"
"86016","21","21","21","4.316650390625","4.316650390625","4.316650390625"
"90112","22","22","22","4.07080078125","4.07080078125","4.07080078125"
"94208","23","23","23","4.1591796875","4.1591796875","4.1591796875"
"98304","24","24","24","4.32421875","4.32421875","4.32421875"
"102400","25","25","25","4.591064453125","4.591064453125","4.591064453125"
"106496","26","26","26","4.45703125","4.45703125","4.45703125"
"110592","27","27","27","4.2626953125","4.2626953125","4.2626953125"
"114688","28","28","28","4.5439453125","4.5439453125","4.5439453125"
"118784","29","29","29","4.564208984375","4.564208984375","4.564208984375"
"122880","30","30","30","4.449951171875","4.449951171875","4.449951171875"
"126976","31","31","31","4.37353515625","4.37353515625","4.37353515625"
"131072","32","32","32","4.505126953125","4.505126953125","4.505126953125"
"135168","33","33","33","4.188720703125","4.188720703125","4.188720703125"
"139264","34","34","34","4.554443359375","4.554443359375","4.554443359375"
"143360","35","35","35","4.587890625","4.587890625","4.587890625"
"147456","36","36","36","4.50927734375","4.50927734375","4.50927734375"
"151552","37","37","37","4.51025390625","4.51025390625","4.51025390625"
"155648","38","38","38","4.573486328125","4.573486328125","4.573486328125"
"159744","39","39","39","4.806884765625","4.806884765625","4.806884765625"
"163840","40","40","40","4.7294921875","4.7294921875","4.7294921875"
"167936","41","41","41","4.59765625","4.59765625","4.59765625"
"172032","42","42","42","4.55615234375","4.55615234375","4.55615234375"
"176128","43","43","43","4.53857421875","4.53857421875","4.53857421875"
"180224","44","44","44","4.91845703125","4.91845703125","4.91845703125"
"184320","45","45","45","4.72509765625","4.72509765625","4.72509765625"
"188416","46","46","46","4.572021484375","4.572021484375","4.572021484375"
"192512","47","47","47","4.746826171875","4.746826171875","4.746826171875"
"196608","48","48","48","4.79541015625","4.79541015625","4.79541015625"
"200704","49","49","49","4.877685546875","4.877685546875","4.877685546875"
"204800","50","50","50","4.9130859375","4.9130859375","4.9130859375"
"208896","51","51","51","4.81005859375","4.81005859375","4.81005859375"
"212992","52","52","52","4.57177734375","4.57177734375","4.57177734375"
"217088","53","53","53","4.312255859375","4.312255859375","4.312255859375"
"221184","54","54","54","4.75146484375","4.75146484375","4.75146484375"
"225280","55","55","55","4.91259765625","4.91259765625","4.91259765625"
"229376","56","56","56","4.522705078125","4.522705078125","4.522705078125"
"233472","57","57","57","4.452392578125","4.452392578125","4.452392578125"
"237568","58","58","58","4.64013671875","4.64013671875","4.64013671875"
"241664","59","59","59","4.8798828125","4.8798828125","4.8798828125"
"245760","60","60","60","5.048828125","5.048828125","5.048828125"
"249856","61","61","61","4.8388671875","4.8388671875","4.8388671875"
"253952","62","62","62","4.963623046875","4.963623046875","4.963623046875"
"258048","63","63","63","5.295166015625","5.295166015625","5.295166015625"
"262144","64","64","64","5.172607421875","5.172607421875","5.172607421875"
"266240","65","65","65","5.224853515625","5.224853515625","5.224853515625"
"270336","66","66","66","5.252197265625","5.252197265625","5.252197265625"
"274432","67","67","67","5.319580078125","5.319580078125","5.319580078125"
"278528","68","68","68","5.22021484375","5.22021484375","5.22021484375"
"282624","69","69","69","5.096923828125","5.096923828125","5.096923828125"
"286720","70","70","70","4.887939453125","4.887939453125","4.887939453125"
"290816","71","71","71","4.94287109375","4.94287109375","4.94287109375"
"294912","72","72","72","5.3681640625","5.3681640625","5.3681640625"
"299008","73","73","73","5.254638671875","5.254638671875","5.254638671875"
"303104","74","74","74","5.310791015625","5.310791015625","5.310791015625"
"307200","75","75","75","5.171142578125","5.171142578125","5.171142578125"
"311296","76","76","76","5.302001953125","5.302001953125","5.302001953125"
"315392","77","77","77","5.56005859375","5.56005859375","5.56005859375"
"319488","78","78","78","5.70068359375","5.70068359375","5.70068359375"
"323584","79","79","79","5.7705078125","5.7705078125","5.7705078125"
"327680","80","80","80","5.69482421875","5.69482421875","5.69482421875"
"331776","81","81","81","6.025634765625","6.025634765625","6.025634765625"
"335872","82","82","82","6.282958984375","6.282958984375","6.282958984375"
"339968","83","83","83","5.59033203125","5.59033203125","5.59033203125"
"344064","84","84","84","5.591796875","5.591796875","5.591796875"
"348160","85","85","85","5.91455078125","5.91455078125","5.91455078125"
"352256","86","86","86","5.623046875","5.623046875","5.623046875"
"356352","87","87","87","5.3251953125","5.3251953125","5.3251953125"
"360448","88","88","88","5.31103515625","5.31103515625","5.31103515625"
"364544","89","89","89","5.3447265625","5.3447265625","5.3447265625"
