"env_step","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - _step","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - _step__MIN","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - _step__MAX","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns__MIN","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.30810546875","0.30810546875","0.30810546875"
"8192","2","2","2","1.752685546875","1.752685546875","1.752685546875"
"12288","3","3","3","2.88427734375","2.88427734375","2.88427734375"
"16384","4","4","4","3.561767578125","3.561767578125","3.561767578125"
"20480","5","5","5","4.186767578125","4.186767578125","4.186767578125"
"24576","6","6","6","4.724365234375","4.724365234375","4.724365234375"
"28672","7","7","7","4.456298828125","4.456298828125","4.456298828125"
"32768","8","8","8","4.322265625","4.322265625","4.322265625"
"36864","9","9","9","4.132568359375","4.132568359375","4.132568359375"
"40960","10","10","10","4.058349609375","4.058349609375","4.058349609375"
"45056","11","11","11","4.138916015625","4.138916015625","4.138916015625"
"49152","12","12","12","4.160400390625","4.160400390625","4.160400390625"
"53248","13","13","13","4.303466796875","4.303466796875","4.303466796875"
"57344","14","14","14","4.406982421875","4.406982421875","4.406982421875"
"61440","15","15","15","4.25439453125","4.25439453125","4.25439453125"
"65536","16","16","16","4.703369140625","4.703369140625","4.703369140625"
"69632","17","17","17","4.42138671875","4.42138671875","4.42138671875"
"73728","18","18","18","4.3056640625","4.3056640625","4.3056640625"
"77824","19","19","19","4.176513671875","4.176513671875","4.176513671875"
"81920","20","20","20","4.38427734375","4.38427734375","4.38427734375"
"86016","21","21","21","4.285400390625","4.285400390625","4.285400390625"
"90112","22","22","22","4.1943359375","4.1943359375","4.1943359375"
"94208","23","23","23","4.23095703125","4.23095703125","4.23095703125"
"98304","24","24","24","4.13427734375","4.13427734375","4.13427734375"
"102400","25","25","25","4.128173828125","4.128173828125","4.128173828125"
"106496","26","26","26","4.347412109375","4.347412109375","4.347412109375"
"110592","27","27","27","4.5576171875","4.5576171875","4.5576171875"
"114688","28","28","28","4.765869140625","4.765869140625","4.765869140625"
"118784","29","29","29","4.66259765625","4.66259765625","4.66259765625"
"122880","30","30","30","4.828857421875","4.828857421875","4.828857421875"
"126976","31","31","31","4.68994140625","4.68994140625","4.68994140625"
"131072","32","32","32","4.351318359375","4.351318359375","4.351318359375"
"135168","33","33","33","4.229248046875","4.229248046875","4.229248046875"
"139264","34","34","34","4.4287109375","4.4287109375","4.4287109375"
"143360","35","35","35","4.387939453125","4.387939453125","4.387939453125"
"147456","36","36","36","4.35595703125","4.35595703125","4.35595703125"
"151552","37","37","37","4.381103515625","4.381103515625","4.381103515625"
"155648","38","38","38","4.270263671875","4.270263671875","4.270263671875"
"159744","39","39","39","4.05029296875","4.05029296875","4.05029296875"
"163840","40","40","40","4.35791015625","4.35791015625","4.35791015625"
"167936","41","41","41","4.5234375","4.5234375","4.5234375"
"172032","42","42","42","4.831298828125","4.831298828125","4.831298828125"
"176128","43","43","43","4.886962890625","4.886962890625","4.886962890625"
"180224","44","44","44","4.72802734375","4.72802734375","4.72802734375"
"184320","45","45","45","4.3818359375","4.3818359375","4.3818359375"
"188416","46","46","46","4.21630859375","4.21630859375","4.21630859375"
"192512","47","47","47","4.512451171875","4.512451171875","4.512451171875"
"196608","48","48","48","5.00341796875","5.00341796875","5.00341796875"
"200704","49","49","49","4.92529296875","4.92529296875","4.92529296875"
"204800","50","50","50","4.749267578125","4.749267578125","4.749267578125"
"208896","51","51","51","4.8564453125","4.8564453125","4.8564453125"
"212992","52","52","52","5.12255859375","5.12255859375","5.12255859375"
"217088","53","53","53","5.299072265625","5.299072265625","5.299072265625"
"221184","54","54","54","4.793701171875","4.793701171875","4.793701171875"
"225280","55","55","55","4.966796875","4.966796875","4.966796875"
"229376","56","56","56","4.9990234375","4.9990234375","4.9990234375"
"233472","57","57","57","4.689208984375","4.689208984375","4.689208984375"
"237568","58","58","58","4.53759765625","4.53759765625","4.53759765625"
"241664","59","59","59","4.552734375","4.552734375","4.552734375"
"245760","60","60","60","4.765380859375","4.765380859375","4.765380859375"
"249856","61","61","61","5.298095703125","5.298095703125","5.298095703125"
"253952","62","62","62","5.351318359375","5.351318359375","5.351318359375"
"258048","63","63","63","5.338134765625","5.338134765625","5.338134765625"
"262144","64","64","64","5.080322265625","5.080322265625","5.080322265625"
"266240","65","65","65","4.91162109375","4.91162109375","4.91162109375"
"270336","66","66","66","4.87841796875","4.87841796875","4.87841796875"
"274432","67","67","67","5.266845703125","5.266845703125","5.266845703125"
"278528","68","68","68","5.822509765625","5.822509765625","5.822509765625"
"282624","69","69","69","5.39599609375","5.39599609375","5.39599609375"
"286720","70","70","70","5.2216796875","5.2216796875","5.2216796875"
"290816","71","71","71","5.21533203125","5.21533203125","5.21533203125"
"294912","72","72","72","5.4609375","5.4609375","5.4609375"
"299008","73","73","73","5.237548828125","5.237548828125","5.237548828125"
"303104","74","74","74","5.507568359375","5.507568359375","5.507568359375"
"307200","75","75","75","5.39599609375","5.39599609375","5.39599609375"
"311296","76","76","76","5.64404296875","5.64404296875","5.64404296875"
"315392","77","77","77","5.5263671875","5.5263671875","5.5263671875"
"319488","78","78","78","5.794677734375","5.794677734375","5.794677734375"
"323584","79","79","79","5.717041015625","5.717041015625","5.717041015625"
"327680","80","80","80","5.303466796875","5.303466796875","5.303466796875"
"331776","81","81","81","4.9111328125","4.9111328125","4.9111328125"
"335872","82","82","82","5.1689453125","5.1689453125","5.1689453125"
"339968","83","83","83","5.37841796875","5.37841796875","5.37841796875"
"344064","84","84","84","5.469970703125","5.469970703125","5.469970703125"
"348160","85","85","85","5.288330078125","5.288330078125","5.288330078125"
"352256","86","86","86","5.567138671875","5.567138671875","5.567138671875"
"356352","87","87","87","5.842529296875","5.842529296875","5.842529296875"
"360448","88","88","88","5.9091796875","5.9091796875","5.9091796875"
"364544","89","89","89","5.917236328125","5.917236328125","5.917236328125"
"368640","90","90","90","6.2734375","6.2734375","6.2734375"
"372736","91","91","91","6.46630859375","6.46630859375","6.46630859375"
"376832","92","92","92","6.149169921875","6.149169921875","6.149169921875"
"380928","93","93","93","5.870361328125","5.870361328125","5.870361328125"
"385024","94","94","94","5.486083984375","5.486083984375","5.486083984375"
"389120","95","95","95","5.601318359375","5.601318359375","5.601318359375"
"393216","96","96","96","5.71630859375","5.71630859375","5.71630859375"
"397312","97","97","97","5.35888671875","5.35888671875","5.35888671875"
"401408","98","98","98","5.359619140625","5.359619140625","5.359619140625"
"405504","99","99","99","5.723388671875","5.723388671875","5.723388671875"
"409600","100","100","100","5.172119140625","5.172119140625","5.172119140625"
"413696","101","101","101","5.103271484375","5.103271484375","5.103271484375"
"417792","102","102","102","4.947509765625","4.947509765625","4.947509765625"
"421888","103","103","103","5.597900390625","5.597900390625","5.597900390625"
"425984","104","104","104","6.3125","6.3125","6.3125"
"430080","105","105","105","6.017822265625","6.017822265625","6.017822265625"
"434176","106","106","106","5.47802734375","5.47802734375","5.47802734375"
"438272","107","107","107","5.8359375","5.8359375","5.8359375"
"442368","108","108","108","5.67822265625","5.67822265625","5.67822265625"
"446464","109","109","109","5.654541015625","5.654541015625","5.654541015625"
"450560","110","110","110","6.046630859375","6.046630859375","6.046630859375"
"454656","111","111","111","6.44140625","6.44140625","6.44140625"
"458752","112","112","112","6.3642578125","6.3642578125","6.3642578125"
"462848","113","113","113","6.32373046875","6.32373046875","6.32373046875"
"466944","114","114","114","6.406982421875","6.406982421875","6.406982421875"
"471040","115","115","115","5.954833984375","5.954833984375","5.954833984375"
"475136","116","116","116","5.83251953125","5.83251953125","5.83251953125"
"479232","117","117","117","5.984619140625","5.984619140625","5.984619140625"
"483328","118","118","118","5.9013671875","5.9013671875","5.9013671875"
"487424","119","119","119","6.060302734375","6.060302734375","6.060302734375"
"491520","120","120","120","5.6708984375","5.6708984375","5.6708984375"
"495616","121","121","121","5.812744140625","5.812744140625","5.812744140625"
"499712","122","122","122","5.998779296875","5.998779296875","5.998779296875"
"503808","123","123","123","5.558837890625","5.558837890625","5.558837890625"
"507904","124","124","124","5.93408203125","5.93408203125","5.93408203125"
"512000","125","125","125","6.3896484375","6.3896484375","6.3896484375"
"516096","126","126","126","6.5048828125","6.5048828125","6.5048828125"
"520192","127","127","127","6.051513671875","6.051513671875","6.051513671875"
"524288","128","128","128","5.578369140625","5.578369140625","5.578369140625"
"528384","129","129","129","5.584228515625","5.584228515625","5.584228515625"
